economy,econ_pct,carb_pct,ci,vuln
BRA,0.3029572521136123,0.8314185464103834,0.00031388912607023637,0.366346352367594
SVN,0.2981138321389633,0.2507074886369719,9.618848734008644e-05,0.344064686795972
SAU,0.2653444189628671,0.7647905343582131,0.000329663194319676,0.471292133183345
CAN,0.2640908367151663,0.30952177948347914,0.00013405277133909417,0.28242526681381
TWN,0.26254283947299656,0.557922744772962,0.00024305905466634188,0.3726194580684875
VNM,0.2576145225142347,0.7104722398558732,0.0003154384916760087,0.498956687021145
ARE,0.20034903017011207,0.45055535744057607,0.00025721650300058904,0.416309791298487
AUS,0.19333559263649433,0.2418670480649736,0.00014308786576081617,0.300140571857323
LVA,0.19261101942603656,0.2113737066387296,0.00012551850248903923,0.386768735501481
EST,0.1862919988834651,0.2736638383137974,0.00016802005676375695,0.3605983790192
ISR,0.17462266544708624,0.1237216438815553,8.103693088178916e-05,0.344488030960562
MEX,0.1609052452890201,0.33693006562174993,0.00023950108246563806,0.412118258967016
THA,0.1500808549000525,0.44431144095226344,0.00033861026317539926,0.443413767667469
MYS,0.14496236447155375,0.40243620049312534,0.00031752629192448653,0.365348909963364
IDN,0.14352714937107347,0.4938928159146372,0.00039358321189349025,0.430901880625814
ZAF,0.13640063268526367,0.7249856462346203,0.0006079263098898045,0.436239815065598
KAZ,0.1288863480909968,0.995922859573263,0.0008838054967685202,0.355038964494091
UKR,0.12323325472359965,0.6416973450687833,0.0005955801838186712,0.384692832175473
MAR,0.11566638351513364,0.40957791900297774,0.00040501144322416797,0.449760924509321
CYP,0.10405645434514431,0.11732345454954096,0.00012895961693992658,0.354660330841481
NGA,0.09779540786877099,0.22572910459999476,0.0002640018756204551,0.489551018255141
BGD,0.09297955138450092,0.19590090579264335,0.0002409832812247586,0.543533510007927
MLT,0.07905276785153088,0.05202443734850582,7.527109386544213e-05,0.351138702400051
ARG,0.0758866732620562,0.1910837083701688,0.0002880023704666109,0.407881465765316
EGY,0.07244473456831456,0.33419082104339287,0.00052762529448642,0.468995783671781
PHL,0.05953049923658224,0.17747735226268316,0.0003409897559839862,0.430001326203024
CHL,0.050667820017631725,0.0766962985640512,0.00017313309854383207,0.346583112469936
COL,0.05037338589329988,0.12284729129043834,0.00027893457975087605,0.40667956463587
TUN,0.04982854870239485,0.20084502802337817,0.0004610210576738012,0.440625999654821
HKG,0.049377925225227784,0.03659720834515218,8.477211850461304e-05,0.3726194580684875
PER,0.03862869933461747,0.09481285721650223,0.0002807340331013681,0.417779188042438
PAK,0.036727883877345574,0.27726379472378826,0.0008634459802418252,0.525114836028279
BLR,0.031077073562593677,0.15950817937583922,0.0005870576584765394,0.35456427179041
NZL,0.027578548034893527,0.035727792572915626,0.0001481742380198367,0.296718167249517
AGO,0.02535549713314487,0.09482825927673973,0.00042776334216484285,0.527907173262356
CRI,0.02172129132437961,0.025412814931480565,0.00013381507725905516,0.387068930111985
CIV,0.02144510478451265,0.049004805664770085,0.0002613655926199176,0.487551450812507
ISL,0.021045234431469956,0.0215037796976763,0.0001168688982962115,0.31480615888223
MMR,0.018818000238108923,0.1486713837560372,0.0009036324737909509,0.487602195757458
CMR,0.012332957347545073,0.06933108633603437,0.0006429818167005817,0.47761377739775
COD,0.011217554387665316,0.07087305324343432,0.0007226381322062768,0.570653651365249
KHM,0.00969551245917465,0.06483043418901545,0.0007647968265922627,0.472346602660018
JOR,0.008611226828593346,0.02443237171106657,0.00032451779298672546,0.428631907247517
SEN,0.005238137600638574,0.03241213157708914,0.0007077316312656198,0.528878387104357
LAO,0.0026279953823039855,0.02913110374649645,0.0012678569566125038,0.451550049940917
BRN,0.00200800504616791,0.003991334632354517,0.00022734806194952317,0.424482746377342
STP,0.0001481570067466946,0.00025281497049475224,0.00019517244725761142,0.526573760980068
