scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,CHN,6M,-38.87591996075506,-44.22357005411027,-51.676524178374805,-59.39297831044693,-66.6317153974895
Current Policies,CHN,1Y,-38.49102256493333,-43.78572737501867,-51.16489230956105,-58.80494842704185,-65.97201721513089
Current Policies,CHN,5Y,-35.58856860379372,-40.48402091485355,-47.306752554904094,-54.37070261793798,-60.99733143307861
Current Policies,CHN,10Y,-32.36301208887258,-36.814766923048175,-43.01912284992722,-49.442834458850655,-55.46886126651514
Current Policies,CHN,20Y,-27.0282939210688,-30.746221590848585,-35.92785162955163,-41.29267876471997,-46.32537545211503
Current Policies,USA,1D,-26.690804278249296,-30.458532214034896,-35.48623457830235,-40.78384273978753,-45.754910231776364
Current Policies,USA,1M,-26.647829092389372,-30.40949056398671,-35.42909776404329,-40.71817618273842,-45.68123969900725
Current Policies,USA,3M,-26.55924924186994,-30.308406602543133,-35.311328163634315,-40.58282519609009,-45.52939102983231
Current Policies,USA,6M,-26.427114769143206,-30.15761976029681,-35.13565137075167,-40.380922267275636,-45.302878524809685
Current Policies,USA,1Y,-26.16546880259132,-29.859039319714615,-34.78778511506551,-39.98112435028115,-44.854349975902544
Current Policies,USA,5Y,-24.192435520790596,-27.607488667789784,-32.16457746875884,-36.96630777726008,-41.472062962293656
Current Policies,USA,10Y,-21.999763236758998,-25.105294327680575,-29.249353101095423,-33.615880391124335,-37.713258151554896
Current Policies,USA,20Y,-18.373322771198225,-20.96693818857485,-24.42789040916719,-28.074639441215673,-31.496605545929565
Current Policies,GBR,1D,-23.360725906330803,-26.65645403133385,-31.044766136583483,-35.681329774153966,-40.03215164158845
Current Policies,GBR,1M,-23.323112519818306,-26.613534153220755,-30.99478058422661,-35.62387883476722,-39.967695391441964
Current Policies,GBR,3M,-23.2455843349335,-26.525068302253576,-30.891751064579264,-35.505461764049535,-39.83483907241103
Current Policies,GBR,6M,-23.12993562056852,-26.393103882542736,-30.738062035143564,-35.328819140367386,-39.636657436738524
Current Policies,GBR,1Y,-22.900933914760184,-26.131794646329205,-30.433734831005964,-34.97904039562484,-39.24422823527191
Current Policies,GBR,5Y,-21.174066143384124,-24.161300597880004,-28.13884869064658,-32.34141095406159,-36.2849780490453
Current Policies,GBR,10Y,-19.254962631339996,-21.971450215862887,-25.588494734943513,-29.410159350042456,-32.99630272627909
Current Policies,GBR,20Y,-16.08097503439717,-18.34967686801493,-21.370487851826784,-24.562189359739204,-27.55719294438219
Current Policies,CHE,1D,-25.30535538755373,-28.874871739538378,-33.62495023182355,-38.64745204336257,-43.36044286243426
