model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,1342.98090042573
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,1071.3965514577
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,916.766545060925
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,850.308395857904
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,671.527637917523
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,527.267409468946
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,503.970343507376
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,522.381987739499
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,5353.54695420992
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,5287.10349545531
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,4480.01508929815
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,3638.31017654947
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,2821.31688531816
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,2130.71843285312
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,1483.66381554849
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,920.608787371699
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,421.29699292574
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,-400.041156980534
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,-620.71909163078
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,-779.703250352042
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,-796.759529245822
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,7815.69421894122
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,7993.29437809519
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,7031.931859299521
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,6719.81983447621
