model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.227072936457713
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.3306956969575832
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.405447471506579
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.461006319293983
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.517481339610065
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.5480844467689079
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.57855284224674
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.576285133685056
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.58858710442549
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.5788365158738982
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.585316320834715
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.588498694319621
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.593433359117555
