scenario,region,tenor,2025,2030,2035,2040,2045
Below 2?C,ROW,20Y,-28.055304522120796,-32.71148763692277,-37.959854284854465,-42.00128150454052,-44.09048911175212
Current Policies,EU27,1D,-28.383849897377438,-32.38630062780331,-37.705972315719215,-43.33942053335528,-48.62574420471788
Current Policies,EU27,6M,-28.103434089447678,-32.066342951545984,-37.33345939978576,-42.91125244946221,-48.14535034001485
Current Policies,EU27,1Y,-27.825191449644016,-31.748864885225338,-36.96383338670362,-42.48640258517809,-47.66867943459309
Current Policies,EU27,5Y,-25.727005125644833,-29.35481005094925,-34.17653864930988,-39.28267300719939,-44.074175100138845
Current Policies,EU27,10Y,-23.39524770330255,-26.694247895212015,-31.07896093762905,-35.72230273064992,-40.07952883558316
Current Policies,EU27,20Y,-19.538775610397757,-22.293968686608654,-25.955905732040193,-29.833839170779115,-33.47282022486901
Current Policies,USA,1D,-26.460050308241982,-30.195198417693458,-35.179395370641025,-40.431203052019164,-45.35929333978152
Current Policies,USA,6M,-26.19864051316928,-29.896887547585614,-34.831843554696206,-40.03176645302377,-44.91117009593034
Current Policies,USA,1Y,-25.939256593309167,-29.6008885288651,-34.48698519791888,-39.63542541020171,-44.466519720307566
Current Policies,USA,5Y,-23.983281068853845,-27.368803994895654,-31.88645966948944,-36.64667661068036,-41.1134774340816
Current Policies,USA,10Y,-21.809565419818725,-24.888242750240117,-28.996442403840607,-33.32521887497397,-37.38717288767091
Current Policies,USA,20Y,-18.21447715802445,-20.785665388163622,-24.216669505426406,-27.831890562697144,-31.22427216943844
Current Policies,CHN,1D,-38.90622357107763,-44.25674343558606,-51.71664263092708,-59.43911436131316,-66.68347762755569
Current Policies,CHN,6M,-38.5218528759244,-43.819512738844786,-51.20571250061709,-58.85189073461982,-66.02468393599854
Current Policies,CHN,1Y,-38.1404609791117,-43.38567049520439,-50.69874197972447,-58.269217977144045,-65.37099576778097
Current Policies,CHN,5Y,-35.26444146412573,-40.114130723220626,-46.87575275579292,-53.875369457142746,-60.441630607638594
Current Policies,CHN,10Y,-32.06826209046189,-36.47840158965582,-42.62718655532026,-48.99239563257184,-54.96352617614585
