shock,region,spot_pct,fwd5y_pct,rate_bp
"EU-US framework, Jul 2026",CAN,0.014758865506775567,0.0032257840254386063,-0.2681593369498306
"EU-US framework, Jul 2026",NOR,0.008143766423517964,0.007522737040254553,-0.027367205171009885
"EU-US framework, Jul 2026",IDN,0.006970756553605672,0.00668643950287812,-0.019937101317140042
"EU-US framework, Jul 2026",CHL,0.009572611780801179,0.004533645071112618,-0.12485615934150485
"EU-US framework, Jul 2026",AUS,0.0077622807818117125,0.006880738791172433,-0.03311583847311517
"EU-US framework, Jul 2026",SGP,0.011330487440900183,0.0018626519598951966,-0.22258633357721888
"EU-US framework, Jul 2026",TUR,0.007143998271527903,0.006121521498751595,-0.03622579307446415
"EU-US framework, Jul 2026",KOR,0.008141979062999835,0.0035326854841786354,-0.11537472466544561
"EU-US framework, Jul 2026",KAZ,0.006795301213572935,0.007003188480145901,-0.009075814570309306
EU steel safeguard 2026/1384,USA,-0.014317097421764777,0.013991192829146144,-0.010856798175722517
EU steel safeguard 2026/1384,CHN,-0.014401287867859852,0.0136504713763468,-0.01651757099980014
EU steel safeguard 2026/1384,GBR,-0.012768170300556627,0.013639383260262948,-0.05279963674025955
EU steel safeguard 2026/1384,JPN,-0.014469138670695807,0.013729945002262543,-0.013266618480201357
EU steel safeguard 2026/1384,IND,-0.014329229151177833,0.013686509000736735,-0.01731243483696354
EU steel safeguard 2026/1384,CAN,-0.013946917351063182,0.013553343705378574,-0.02868727318876838
EU steel safeguard 2026/1384,NOR,-0.01082793075568594,0.013784848650379508,-0.09240424006332039
EU steel safeguard 2026/1384,IDN,-0.014455110181552875,0.013956554464004674,-0.008575674457233801
EU steel safeguard 2026/1384,CHL,-0.013338663034034793,0.014349044371984278,-0.02455096539778507
EU steel safeguard 2026/1384,AUS,-0.014063486879792747,0.013856205201499067,-0.019431847197386554
EU steel safeguard 2026/1384,SGP,-0.01324419921620226,0.012944794967238818,-0.05762250396323661
EU steel safeguard 2026/1384,TUR,-0.01080397175408489,0.01245887466760321,-0.12219270131197521
EU steel safeguard 2026/1384,KOR,-0.013895280005225183,0.013243868868175412,-0.03665579932704967
EU steel safeguard 2026/1384,KAZ,-0.014453697994925806,0.014047281758005573,-0.006604791720300545
USA 25% on CHN manufactures,USA,0.3316182123992366,0.2943414773117212,-0.8670592270203805
USA 25% on CHN manufactures,CHN,-0.0007406554549162574,-7.37857361267271e-05,-0.029772032405881322
USA 25% on CHN manufactures,GBR,0.0006124320407782463,0.0002617512977595466,-0.052225934081678575
USA 25% on CHN manufactures,JPN,-9.761831459747302e-05,-0.0001961611161383468,-0.04666210136853677
USA 25% on CHN manufactures,IND,-0.0004692594741707355,0.0001518050100079299,-0.030782799215775623
USA 25% on CHN manufactures,CAN,0.007857330857387473,-0.0009060775088298365,-0.23786641675699424
USA 25% on CHN manufactures,NOR,0.000495752611165904,0.0013180337386610897,-0.02634262755437798
USA 25% on CHN manufactures,IDN,-0.0007592811546133834,0.0005704481728870375,-0.015144959806058554
USA 25% on CHN manufactures,CHL,0.0020136433079391385,0.00018788736511486832,-0.08477586132753234
USA 25% on CHN manufactures,AUS,0.0003266625837691775,0.0008819491165494328,-0.0322342964226177
