region,tenor,2025,2030,2035,2040,2045
GBR,6M,-23.125876142953096,-23.783184932830814,-30.474093887568802,-33.718718568615444,-35.54240001362787
GBR,1Y,-22.896914628665996,-23.547715625500352,-30.17238014319457,-33.384880887588025,-35.190506676561895
GBR,5Y,-21.170349935568133,-21.772076633895892,-27.89720171383769,-30.867460634309754,-32.53693140909293
GBR,10Y,-19.25158324062011,-19.798772666218504,-25.368749340888186,-28.069799962521564,-29.587958882253105
GBR,20Y,-16.078152702365763,-16.535143435643626,-21.186965283469476,-23.442774782805106,-24.71068042115281
CHE,1D,-25.30091410741221,-25.295218548973125,-33.16613754259652,-36.7112450825692,-38.71379805229261
CHE,6M,-25.05095589890833,-25.045316609249802,-32.83847553449888,-36.348559488925076,-38.33132840852993
CHE,1Y,-24.80293481804211,-24.797351361092012,-32.51335284341546,-35.98868463829049,-37.95182283032819
CHE,5Y,-22.93264477082215,-22.92748234001429,-30.061651031879954,-33.2749219652309,-35.090027763166
CHE,10Y,-20.8541531470536,-20.849458611218154,-27.337024609989257,-30.25906194221773,-31.909656309615084
CHE,20Y,-17.416555022310423,-17.412634333654037,-22.830790102517327,-25.271158868160192,-26.649669298028854
RUS,1D,-29.558603206423,-34.55998249556783,-39.950378538486376,-44.12440644054128,-46.41316703662581
RUS,6M,-29.26658152404474,-34.218550115937454,-39.55569220398725,-43.68848315577965,-45.95463213807573
RUS,1Y,-28.976822953068645,-33.87976377102997,-39.16406461203289,-43.25593819192963,-45.49965079605869
RUS,5Y,-26.79179670650701,-31.325026380153634,-36.210859243800314,-39.99418101371542,-42.068704230253466
RUS,10Y,-24.36353230016884,-28.485894409282224,-32.92890165103886,-36.36932347690587,-38.25582306285187
RUS,20Y,-20.347448196604404,-23.790280230539324,-27.500902260833136,-30.374205032115242,-31.949734069737012
IND,1D,-47.49829638455946,-55.53511037568127,-64.19704298084126,-70.90436988071801,-74.58222395206671
IND,6M,-47.029041043789285,-54.98645602115327,-63.562813806882815,-70.20387624656553,-73.84539527440909
IND,1Y,-46.56342234090016,-54.442053631463885,-62.93349978601672,-69.50881130222024,-73.11427687609878
IND,5Y,-43.052261020372214,-50.336796257523,-58.18793644240437,-64.2674300331751,-67.6010218780821
IND,10Y,-39.15023555364569,-45.774539682488864,-52.914094732973915,-58.44257571131152,-61.47402871458269
IND,20Y,-32.696711626135794,-38.229065614857504,-44.19173657515759,-48.8089028762796,-51.34065123626899
TUR,1D,-38.08848435226892,-44.533137892357736,-51.47906879103504,-56.85761781525974,-59.80685805984316
TUR,6M,-37.71219244151412,-44.09317658031293,-50.970485751077376,-56.29589786203729,-59.2160013408559
TUR,1Y,-37.33881672008759,-43.65662488310801,-50.465844131042076,-55.73853112950934,-58.62972364684684
TUR,5Y,-34.523245990298335,-40.36465352515813,-46.660416801765535,-51.53551157626073,-54.208690837125076
TUR,10Y,-31.394244589315846,-36.70621835177132,-42.43136749440376,-46.864609889675855,-49.29550655478798
TUR,20Y,-26.219218033840086,-30.655566163562455,-35.43698185330382,-39.13944867418283,-41.16963638897181
RASIA,1D,-38.504751582491025,-43.026459522895735,-51.62921897498304,-56.903399785811025,-59.89367956178853
RASIA,6M,-38.12434719537733,-42.60138331043363,-51.11915253917547,-56.341227533541506,-59.30196509722758
RASIA,1Y,-37.74689086848609,-42.17960135617654,-50.61303901932037,-55.78341200719636,-58.714836305006685
RASIA,5Y,-34.9005489003786,-38.99900643098333,-46.79651231262869,-51.57700816658564,-54.28738549037475
RASIA,10Y,-31.737350792210247,-35.46434616775768,-42.5551280398851,-46.90234545216173,-49.36706874777197
RASIA,20Y,-26.50576661814693,-29.618404161776425,-35.54034171331671,-39.17096390741714,-41.229402271711535
LAM,1D,-36.64416984135644,-39.71253226389771,-49.3021998096759,-53.88011818389643,-56.6825299732435
LAM,6M,-36.28214691179856,-39.3201957112461,-48.8151229599064,-53.34781418262406,-56.12253978532264
LAM,1Y,-35.92292958973209,-38.93089969078569,-48.33182086125632,-52.81963543412364,-55.56688941275065
LAM,5Y,-33.214125241716516,-35.99527635608135,-44.6873116858715,-48.83671812312994,-51.376812674410715
LAM,10Y,-30.203775506846732,-32.73285803717294,-40.63709401773778,-44.41042056496861,-46.72029460303868
LAM,20Y,-25.22498584752318,-27.337174471764374,-33.93847637523119,-37.089807861270245,-39.0189223160731
