region,tenor,2025,2030,2035,2040,2045
GBR,1Y,-22.889453367302124,-24.369028727603865,-30.25521964732937,-33.92335857714705,-36.34927749244615
GBR,5Y,-21.16345129806192,-22.5314578020656,-27.97379462250963,-31.36533387641849,-33.60832395543544
GBR,10Y,-19.24530985852667,-20.489327608147764,-25.438400280122863,-28.522548650800456,-30.562246168578923
GBR,20Y,-16.072913424432205,-17.111867316840335,-21.24513496348392,-23.820892387729394,-25.524366213626642
CHE,1D,-25.292669471138645,-26.432855978026815,-33.28318313192208,-37.346319799696914,-40.047967633926135
CHE,6M,-25.04279271481092,-26.171714847004473,-32.95436478197462,-36.977360039914544,-39.652317176337924
CHE,1Y,-24.794852454882285,-25.91259750910044,-32.62809471046644,-36.61125964671244,-39.25973293306145
CHE,5Y,-22.925171866320614,-23.95863223948913,-30.167740673961625,-33.85055108396514,-36.299313599628114
CHE,10Y,-20.84735754643772,-21.787150627822236,-27.433498857307743,-30.782519132522292,-33.00933897963272
CHE,20Y,-17.410879608343645,-18.195757219824724,-22.911361537128464,-25.708329387263795,-27.568080302033078
RUS,1D,-29.548971146049336,-34.299285209660724,-39.9108745507223,-44.58955944497275,-47.60057028003638
RUS,6M,-29.257044622784488,-33.960428366482134,-39.51657849247833,-44.14904072104342,-47.1303045330974
RUS,1Y,-28.96738047345714,-33.62419759811845,-39.125338152213864,-43.71193593178798,-46.66368325449134
RUS,5Y,-26.783066246491906,-31.088731429503063,-36.175052991323476,-40.41579378902547,-43.14496165973817
RUS,10Y,-24.355593122109845,-28.271015962509612,-32.89634068477281,-36.752723537079355,-39.23453430546812
RUS,20Y,-20.340817712473907,-23.610822341986676,-27.473708643496906,-30.694405435194763,-32.76711457364819
IND,1D,-47.48281843875711,-55.11619081895556,-64.13356325190796,-71.65183332188134,-76.4902853983277
IND,6M,-47.01371601102349,-54.57167514421841,-63.49996122048093,-70.94395518684158,-75.73460619144421
IND,1Y,-46.54824903612456,-54.03137936035418,-62.87126948191327,-70.24156297005868,-74.98478335185358
IND,5Y,-43.038231873782465,-49.95708928957885,-58.13039867647247,-64.94492783039315,-69.33048094672444
IND,10Y,-39.13747793347458,-45.429247312609846,-52.86177188079204,-59.05866875078305,-63.04673891174738
IND,20Y,-32.68605697178005,-37.94069123128147,-44.14803862072502,-49.32343915330576,-52.65411592073342
TUR,1D,-38.076072717718375,-44.19720982344296,-51.42816493034524,-57.457002461650916,-61.33691648447972
TUR,6M,-37.69990342664141,-43.76056728391111,-50.92008479070851,-56.889360939279605,-60.73094368466214
TUR,1Y,-37.32664937461401,-43.3273086393758,-50.415942173614155,-56.32611852861521,-60.129667056517526
TUR,5Y,-34.51199613565022,-40.060169701361666,-46.61427775122742,-52.07879136126846,-55.5955295174127
TUR,10Y,-31.384014361007754,-36.429331304694614,-42.38941023933802,-47.35864971593543,-50.55664963348657
TUR,20Y,-26.210674156130825,-30.42432117095254,-35.40194083119735,-39.552050986853494,-42.22289267160649
RASIA,1D,-38.49220430177801,-43.3556176923847,-51.59495426276588,-57.650028985908634,-61.59505371701243
RASIA,6M,-38.11192387444677,-42.927289590049746,-51.085226342240574,-57.08048047456481,-60.98653067257057
RASIA,1Y,-37.734590546673715,-42.50228094743562,-50.57944871423996,-56.5153458537226,-60.38272356370289
RASIA,5Y,-34.8891760966052,-39.29735404570818,-46.76545491801779,-52.25374981112352,-55.82950404618523
RASIA,10Y,-31.72700875822454,-35.735653158761444,-42.52688552054043,-47.517750872566545,-50.769417968944325
RASIA,20Y,-26.497129364805375,-29.844988914628033,-35.51675469021074,-39.68492591248771,-42.400588279544856
LAM,1D,-36.63222885572223,-40.309389160859794,-49.239764855827936,-54.695215876513714,-58.420613833995326
LAM,6M,-36.270323896106646,-39.91115601174276,-48.753304826824106,-54.15485918757412,-57.843452395809805
LAM,1Y,-35.91122362973829,-39.51600909229591,-48.27061476869839,-53.61869015817412,-57.270763846832416
LAM,5Y,-33.203301981315725,-36.536264999374545,-44.63072089979162,-49.57551932845212,-52.95220475674039
LAM,10Y,-30.193933208576986,-33.22481437848458,-40.5856323162456,-45.082260801233865,-48.15290161718296
LAM,20Y,-25.21676595347367,-27.748036741097966,-33.89549761942845,-37.65090196845382,-40.215378422981324
MEA,1D,-42.88352406261807,-49.77751053832344,-57.921439656786795,-64.7114728952477,-69.08126143915503
MEA,6M,-42.45985996876287,-49.285737897022024,-57.349209767024256,-64.07216145512052,-68.39877904831286
MEA,1Y,-42.03947918946735,-48.79777639831366,-56.781414547926026,-63.43780455466284,-67.72158576363537
MEA,5Y,-38.86945031606252,-45.11813138074732,-52.49975532996902,-58.65421360679787,-62.61497201954142
MEA,10Y,-35.34653232252978,-41.028866531788935,-47.74145977384215,-53.33811104214413,-56.93988760752865
MEA,20Y,-29.520010748084083,-34.2656691170839,-39.87175864362633,-44.54585804568412,-47.5539178449357
AFR,1D,-46.82884849859881,-51.76191310855485,-62.77702039904409,-70.19678531374457,-74.82005947858703
AFR,6M,-46.36620691073697,-51.250535732448206,-62.156820216254665,-69.50328220056596,-74.0808811252665
AFR,1Y,-45.907150705453844,-50.74312143182712,-61.54142646459689,-68.81515360201274,-73.34743126082395
AFR,5Y,-42.44547620239539,-46.91678573102992,-56.90083379873507,-63.62607828395258,-67.816595023796
AFR,10Y,-38.59844644916806,-42.66450052229717,-51.743648152769254,-57.859352636385836,-61.670063469406486
AFR,20Y,-32.23587942493927,-35.63168523824549,-43.214226382292736,-48.321818279600144,-51.50437162661993
ROW,1D,-33.17890341139094,-37.116178727289196,-44.439050412534314,-49.67795950707466,-53.06507520860987
ROW,6M,-32.85111528398866,-36.749492626470996,-44.00001862966775,-49.18717037163868,-52.54082335442955
