region,tenor,2025,2030,2035,2040,2045
CHE,6M,-25.047106255316375,-28.444656933356974,-33.34577544575947,-38.31864135324966,-42.780420095905505
CHE,1Y,-24.799123288475364,-28.163035961049594,-33.01563014903888,-37.93926138531112,-42.35686555870881
CHE,5Y,-22.929120653445352,-26.03937413458164,-30.526053616122887,-35.07841352644368,-39.16290384945731
CHE,10Y,-20.850948436728284,-23.679305264733483,-27.759336240875008,-31.899094724864888,-35.613388805422034
CHE,20Y,-17.413878576361363,-19.776009129940796,-23.183487893888568,-26.64084868466577,-29.742878614478833
RUS,1D,-29.55406086129733,-33.75134874199616,-39.43323837919103,-45.26547578219039,-50.532003207172224
RUS,6M,-29.2620840546277,-33.417905190102225,-39.043661086492286,-44.81827940084395,-50.03277662033216
RUS,1Y,-28.972370011582225,-33.087045761065625,-38.65710294225524,-44.37454870472126,-49.537418942717395
RUS,5Y,-26.78767954351633,-30.59208406266943,-35.742125524556066,-41.028441584690164,-45.802000441107865
RUS,10Y,-24.359788294695544,-27.819382042761838,-32.50265143594179,-37.30984423046975,-41.65075337736707
RUS,20Y,-20.344321352907148,-23.2336357471745,-27.14491512138132,-31.159690366310397,-34.78504414935142
IND,1D,-47.490997201524536,-54.235701015046814,-63.36604036589931,-72.73797647594463,-81.20086218141128
IND,6M,-47.02181397240642,-53.69988406372561,-62.74002101092254,-72.01936788287415,-80.39864523566504
IND,1Y,-46.556266822318044,-53.16821958985793,-62.11885318453329,-71.30632836702912,-79.60264531566206
IND,5Y,-43.04564507080825,-49.15901694279931,-57.43471908072395,-65.92940353022952,-73.60012842165462
IND,10Y,-39.144219238179296,-44.70350795247531,-52.22914494325371,-59.953916866258204,-66.92940849547601
IND,20Y,-32.69168703997239,-37.33458273056658,-43.619693893008794,-50.071114590032664,-55.8967663396508
TUR,1D,-38.08263119878824,-43.49115245567992,-50.81269478385696,-58.327971521107806,-65.11428838514779
TUR,6M,-37.70639711376067,-43.06148534928847,-50.310695128686156,-57.75172533469787,-64.47099736397523
TUR,1Y,-37.33307876992322,-42.63514807963956,-49.81258587348241,-57.17994494447233,-63.832691723453436
TUR,5Y,-34.517940715991166,-39.42020219923936,-46.05641813490919,-52.868234144327836,-59.019323914624955
TUR,10Y,-31.38942015654787,-35.84736701615445,-41.8821120192889,-48.076541649608195,-53.67012971469957
TUR,20Y,-26.21518886045854,-29.938287862339784,-34.978265638064215,-40.151605630703955,-44.82314676789787
RASIA,1D,-38.498834460174905,-43.881894750098205,-51.314185630335565,-58.94407929662369,-65.79292448975549
RASIA,6M,-38.11848853076306,-43.44836733875947,-50.80723153940663,-58.3617463263466,-65.1429289414574
RASIA,1Y,-37.741090208537834,-43.01819968077797,-50.30420624436098,-57.78392632364836,-64.49797073259498
RASIA,5Y,-34.89518564498138,-39.774369412202056,-46.510967381204736,-53.426671704981345,-59.63443689629636
RASIA,10Y,-31.73247363344647,-36.16943441712804,-42.29546336580196,-48.584365432225404,-54.229492162891226
RASIA,20Y,-26.501693410121515,-30.207265680350176,-35.323480158132504,-40.57571975268353,-45.29030392300489
LAM,1D,-36.63853863933038,-41.39204425893517,-48.879986018186685,-56.152549264945236,-62.63940892196473
LAM,6M,-36.27657134274942,-40.983115111737064,-48.397080393317516,-55.59779497592611,-62.020568259947325
LAM,1Y,-35.91740922251506,-40.5773550861198,-47.917917193383786,-55.04733992505483,-61.40652349303928
LAM,5Y,-33.20902114329746,-37.51757913957031,-44.304618837049574,-50.89644033421798,-56.77610332034795
LAM,10Y,-30.199134016465997,-34.11718748108674,-40.28908639117006,-46.283460629020404,-51.630222574324854
LAM,20Y,-25.221109460309965,-28.493311082007676,-33.647834317816496,-38.65409604427703,-43.119497873588294
MEA,1D,-42.89091061172093,-48.982306990296664,-57.228260792663264,-65.69240973965165,-73.3355609830357
