scenario,region,index,2025,2030,2035,2040,2045
Below 2?C,MEA,Telecommunications,0.1043887947866734,0.29110529588145906,0.3142380598312681,0.34456772876443975,0.38946078683011015
Below 2?C,MEA,UK Real Estate,-0.41912590456207693,-1.3501476620959507,-1.4614878200698334,-1.6068863607477175,-1.8492901843676195
Below 2?C,MEA,Utilities,0.41460261769631185,3.2699315364704202,3.483738758613851,3.833006656098612,4.584759014774726
Below 2?C,MEA,FTSE,-0.7298535806837483,-2.576486921416158,-2.7560155787390963,-3.012112183871191,-3.449462869063629
Below 2?C,AFR,Basic Materials,1.3177721783363538,5.37368728298228,5.749773396338643,6.293882461686873,7.295476543636584
Below 2?C,AFR,Consumer Goods,1.2112441184680973,4.9160047324950025,5.260860891919013,5.758833711040573,6.673774416926433
Below 2?C,AFR,Consumer Services,0.264157140764562,1.0621714405626264,1.1371747790212277,1.2449976875860995,1.4424515772159825
Below 2?C,AFR,Financials,-0.09811139091711765,-0.2605822805436296,-0.2842762746706313,-0.31250351088723033,-0.35543154463152254
Below 2?C,AFR,Government,0.45134526248520523,2.4558800432648584,2.6281611596764374,2.888771949144223,3.412157369713933
Below 2?C,AFR,Health Care,2.2779888843126317,9.338321913253553,9.991900695866377,10.938535085851015,12.684344910688598
Below 2?C,AFR,Industrials,1.0168655121915842,4.214211537615241,4.508550122109292,4.936940596136362,5.728720324096557
Below 2?C,AFR,Oil & Gas,0.9015628597772447,3.699397613180586,3.957938652296241,4.3326703363193335,5.024042076380611
Below 2?C,AFR,Technology,0.04396228401816498,0.1305186140408562,0.1418818614838197,0.1560738192382667,0.1789932898412574
Below 2?C,AFR,Telecommunications,0.08204152249168264,0.24357118945393477,0.26477705128507256,0.2912617949082969,0.3340336459385066
Below 2?C,AFR,UK Real Estate,-0.538057365748507,-1.987060004853675,-2.1479106317333736,-2.364378166648517,-2.749843751835488
Below 2?C,AFR,Utilities,0.6110157190327058,5.747669814813171,6.104626988915675,6.708909199184585,8.051243156303054
Below 2?C,AFR,FTSE,-0.9563103591230226,-4.039773787218691,-4.32206843886314,-4.73337122724086,-5.500503125549364
Below 2?C,ROW,Basic Materials,1.1335250881908874,4.820875008083028,4.833615262114089,5.061183099457055,5.419843783533164
Below 2?C,ROW,Consumer Goods,1.057130225002833,4.487144473482991,4.499461611168067,4.711510749630967,5.0450676030174595
Below 2?C,ROW,Consumer Services,0.23414777610526907,0.9824323078644847,0.9857694282203951,1.0325306083576824,1.1054673711652256
Below 2?C,ROW,Financials,-0.22011442000690307,-0.586470602517451,-0.6080167150125574,-0.6460023935748427,-0.6880705108970251
Below 2?C,ROW,Government,0.29700549500495144,1.4037543440350901,1.3996229476813349,1.461964721074258,1.56632527199362
Below 2?C,ROW,Health Care,1.8001941048185195,7.609497537549316,7.63224620272097,7.992821940904696,8.558643938396662
Below 2?C,ROW,Industrials,0.8481830195368057,3.5109532378302304,3.525040784400766,3.6939343440949313,3.9538862977942633
Below 2?C,ROW,Oil & Gas,0.7679285888260554,3.273067768426182,3.2813866698599363,3.4357799259784207,3.6794478613963353
Below 2?C,ROW,Technology,0.056229495580948516,0.17894872069162102,0.18277170126188405,0.1930251935121558,0.2058910733565887
Below 2?C,ROW,Telecommunications,0.10493434382286021,0.3339504718957108,0.341084840672158,0.3602196998783216,0.38422974381043823
Below 2?C,ROW,UK Real Estate,-0.45523924001153443,-1.399625464292657,-1.4339198682368417,-1.5159797235073378,-1.6174076450402772
Below 2?C,ROW,Utilities,0.6219330964821262,4.405015711671271,4.32352107978193,4.486494469269146,4.831484987198353
Below 2?C,ROW,FTSE,-0.8004328122649005,-3.415708660638371,-3.4244643447878578,-3.585695625497176,-3.8402309976094564
Current Policies,EU27,Basic Materials,1.4533812167468307,1.7248202525466914,2.0209152962570474,2.3300744498111317,2.6228240956356736
Current Policies,EU27,Consumer Goods,1.3532405342476528,1.6030563765968047,1.8782526215760307,2.1656513668557524,2.43771441339712
Current Policies,EU27,Consumer Services,0.28033536534699127,0.33142436877810383,0.38827977368639294,0.44767323559770444,0.5038749731665114
Current Policies,EU27,Financials,-0.43323915052843737,-0.4974362278074908,-0.580943031857974,-0.6686529793389322,-0.751118566487865
Current Policies,EU27,Government,0.20986572858727173,0.24258245035085899,0.28446228485472647,0.32830042209210014,0.3696412776994064
Current Policies,EU27,Health Care,2.2358911913530113,2.652023938154733,3.1072684726458086,3.5826306328257584,4.032716521396279
Current Policies,EU27,Industrials,1.008030233680681,1.1923082869736676,1.3970403876003112,1.6108860088039807,1.8132631711117126
Current Policies,EU27,Oil & Gas,0.9781949507217589,1.160926611742266,1.3603252034309916,1.568513577411933,1.7656625470404999
Current Policies,EU27,Technology,0.06315092116476662,0.07291358723277414,0.0852708398221576,0.09822900079001719,0.11042638960631264
Current Policies,EU27,Telecommunications,0.1178509678198002,0.13606985716290804,0.15913071123109992,0.18331296832347999,0.20607548786178287
Current Policies,EU27,UK Real Estate,-0.4587960160496444,-0.5280596090879143,-0.6182456784879454,-0.7127897128094192,-0.8018114361642424
Current Policies,EU27,Utilities,0.8806213960019323,1.041774805085712,1.2294133214215086,1.4247277247161816,1.6103233900932028
Current Policies,EU27,FTSE,-1.0133145687370755,-1.1983916079097827,-1.4044741274424999,-1.6197127499485522,-1.8234447865275998
Current Policies,CHN,Basic Materials,2.160421831376222,2.8434530126026063,3.30159145623075,3.77483510448135,4.21824799815955
Current Policies,CHN,Consumer Goods,2.301073607525681,3.02841292497705,3.516364897649861,4.020405996411272,4.492668854647732
Current Policies,CHN,Consumer Services,0.5457481279109784,0.7176079779779367,0.8332573358860053,0.9527327667440028,1.06467428461825
Current Policies,CHN,Financials,-0.22173714598051059,-0.27841624141386734,-0.323754789514188,-0.37086325786355456,-0.41499414406114465
Current Policies,CHN,Government,0.3390148221880845,0.46909522560571304,0.5443700861979953,0.6215997781100587,0.6938067668680107
Current Policies,CHN,Health Care,3.6958285990961155,4.86199563828002,5.645473309345905,6.4548294927781855,7.213167129489362
Current Policies,CHN,Industrials,1.7968730397337551,2.377004192450906,2.7599848164490943,3.155309138722279,3.5256187189966504
Current Policies,CHN,Oil & Gas,1.459058255994367,1.923565178418678,2.2334438127270895,2.553469449527995,2.8533126257525696
Current Policies,CHN,Technology,0.08861218468486538,0.11382081614018708,0.13229648476829015,0.15143513881662746,0.16935582975075916
Current Policies,CHN,Telecommunications,0.16536626122192935,0.21241009779037887,0.24688901573456673,0.28260518361880166,0.3160484134503446
Current Policies,CHN,UK Real Estate,-0.44766407531874297,-0.6102748122173293,-0.7086079664036578,-0.8096761965684578,-0.9041615459288764
Current Policies,CHN,Utilities,1.227341949027303,2.0983525184257985,2.4270911523581544,2.7561883024926654,3.0631077214655233
Current Policies,CHN,FTSE,-1.8586028905512777,-2.466498496168569,-2.863556696627076,-3.2732616098573084,-3.657068853089593
Current Policies,USA,Basic Materials,0.8614868190383741,1.0302887989608032,1.2087288544675023,1.3942650968536163,1.5699639029709382
Current Policies,USA,Consumer Goods,0.750161932665935,0.8919178787356451,1.0468371046030873,1.2080330488912991,1.3605871286387596
Current Policies,USA,Consumer Services,0.143271643008012,0.1697340751522799,0.19922773298747606,0.2299335006324336,0.258979453288565
Current Policies,USA,Financials,-0.2521214313043875,-0.2892717067447544,-0.33855791603816826,-0.3902429115278013,-0.43886776612412143
